point_name,x_torishin_name,y_torishin_name,setsu_name,col_form,angle,kih_x,kih_y,kih_z,tat_x,tat_y,tat_z,hon_x,hon_y,hon_z,you_x,you_y,you_z,con_x,con_y,con_z,comment
X2B-Y1,X2B,Y1,3,S,,10400,0,25500,-1,-4,2,-1,-4,2,,,,,,,
X2B-Y2,X2B,Y2,3,S,,10400,16300,25500,-4,-2,1,-4,-2,1,,,,,,,
X1B-Y1,X1B,Y1,3,S,,1400,0,25500,-2,-6,2,-3,-5,2,,,,,,,
X1B-Y2,X1B,Y2,3,S,,1400,16300,25500,-2,-5,-3,-2,-4,-2,,,,,,,
X1-Y3,X1,Y3,3,S,,0,26600,25500,5,6,2,5,5,2,,,,,,,
X2-Y3,X2-,Y3,3,S,,8800,26600,25500,5,-2,-1,5,-3,-1,,,,,,,
X3-Y3,x3,Y3,3,S,,15600,26600,25500,5,-3,-1,5,-3,-1,,,,,,,
X4-Y3,x4,Y3,3,S,,26600,26600,25500,4,-5,-1,4,-5,-1,,,,,,,
X5-Y3,X5,Y3,3,S,,37400,26600,25500,5,2,1,5,2,1,,,,,,,
X6-Y3,X6,Y3,3,S,,48200,26600,25500,-3,-1,1,-3,-1,1,,,,,,,
X7-Y3,X7,Y3,3,S,,59000,26600,25500,2,3,0,2,4,0,,,,,,,
X8-Y3,X8,Y3,3,S,,69800,26600,25500,-2,4,2,-3,4,2,,,,,,,
X9-Y3,X9,Y3,3,S,,80600,26600,25500,-2,4,1,-3,4,1,,,,,,,
X10-Y3,X10,Y3,3,S,,91600,26600,25500,-4,4,1,-4,4,1,,,,,,,
X11-Y3,X11,Y3,3,S,,102600,26600,25500,-3,3,1,-3,3,2,,,,,,,
X12-Y3,X12,Y3,3,S,,113600,26600,25500,,,,,,,,,,,,,
X1-Y4,X1,Y4,3,S,,0,39600,25500,3,6,0,3,5,0,,,,,,,
X2-Y4,X2,Y4,3,S,,8800,39600,25500,2,-3,2,2,-3,2,,,,,,,
X3-Y4,x3,Y4,3,S,,15800,39600,25500,3,-2,3,3,-2,3,,,,,,,
X4-Y4,x4,Y4,3,S,,26600,39600,25500,-3,-5,0,-3,-4,0,,,,,,,
X5-Y4,X5,Y4,3,S,,37400,39600,25500,-5,6,-1,-5,6,-1,,,,,,,
X6-Y4,X6,Y4,3,S,,48200,39600,25500,0,0,1,0,1,1,,,,,,,
X7-Y4,X7,Y4,3,S,,59000,39600,25500,-3,-1,0,-3,-1,0,,,,,,,
X8-Y4,X8,Y4,3,S,,69800,39600,25500,-4,3,2,-5,3,2,,,,,,,
X9-Y4,X9,Y4,3,S,,80600,39600,25500,-4,0,0,-5,0,0,,,,,,,
X8A-Y3,X8A,Y3,3,S,,76100,26800,25500,-4,-4,1,-4,-4,1,,,,,,,
X8A-Y4,X8A,Y4,3,S,,76100,39800,25500,-3,-2,1,-3,-2,1,,,,,,,
X10-Y4,X10,Y4,3,S,,91600,39600,25500,-4,1,2,-3,1,2,,,,,,,
X11-Y4,X11,Y4,3,S,,102600,39600,25500,0,0,2,0,0,2,,,,,,,
X12-Y4,X12,Y4,3,S,,113600,39600,25500,,,,,,,,,,,,,
X1A-Y5,X1A,Y5,3,S,,2200,42800,25500,3,2,1,3,2,1,,,,,,,
X2A-Y5,X2A,Y5,3,S,,12600,42800,25500,,,,,,,,,,,,,
X3A-Y5,X3A,Y5,3,S,,14200,42800,25500,0,-4,1,1,-4,1,,,,,,,
X4A-Y5,X4A,Y5,3,S,,25000,42800,25500,4,-5,3,4,-5,3,,,,,,,
X5A-Y5,X5A,Y5,3,S,,35800,42800,25500,0,-5,2,1,-6,2,,,,,,,
X6-Y5,X6,Y5,3,S,,48200,42800,25500,-1,0,2,-1,0,2,,,,,,,
X7-Y5,X7,Y5,3,S,,59000,42800,25500,3,-4,1,3,-5,1,,,,,,,
X8-Y5,X8,Y5,3,S,,69800,42800,25500,4,2,1,3,2,1,,,,,,,
X9-Y5,X9,Y5,3,S,,80600,42800,25500,3,1,1,2,1,1,,,,,,,
X10-Y5,X10,Y5,3,S,,91600,42800,25500,3,4,0,3,4,0,,,,,,,
X11-Y5,X11,Y5,3,S,,102600,42800,25500,4,4,2,4,4,2,,,,,,,
X12-Y5,X12,Y5,3,S,,113600,42800,25500,,,,,,,,,,,,,
X1A-Y6,X1A,Y6,3,S,,2200,55800,25500,-5,0,1,-5,0,1,,,,,,,
X2A-Y6,X2A,Y6,3,S,,12600,55800,25500,,,,,,,,,,,,,
X3A-Y6,X3A,Y6,3,S,,14200,55800,25500,-5,-4,0,-5,-4,0,,,,,,,
X4A-Y6,X4A,Y6,3,S,,25000,55800,25500,-3,-5,2,-2,-4,2,,,,,,,
X5A-Y6,X5A,Y6,3,S,,35800,55800,25500,-3,-5,0,-3,-5,0,,,,,,,
X6-Y6,X6,Y6,3,S,,48200,55800,25500,0,2,2,0,2,2,,,,,,,
X7-Y7,X7,Y7,3,S,,59000,58540,25500,4,-4,1,4,-4,1,,,,,,,
X8-Y7,X8,Y7,3,S,,69800,58540,25500,-1,-2,1,-2,-3,1,,,,,,,
X9-Y7,X9,Y7,3,S,,80600,58540,25500,-1,-1,2,-2,-1,2,,,,,,,
X10-Y7,X10,Y7,3,S,,91600,58540,25500,-2,0,2,-3,0,2,,,,,,,
X11-Y7,X11,Y7,3,S,,102600,58540,25500,3,4,1,2,4,1,,,,,,,
X12-Y7,X12,Y7,3,S,,113600,58540,25500,,,,,,,,,,,,,
